Objekt Code	Organisation	Typ	Kategorie	Nummer	GPS	Name	Verwendung	Klassifizierung	Sterne	Zimmer	Planquadrat	Orts /Stadtteil	Leistung	Produkt	Max. Betten	Standardbelegung	Marketing Codes
4	AROSA	Unterkunft	Hotel	54	9.67561300400007,46.7906498	Pr�tschli	Angebot, Buchung, Package	SHV - Mitglied Schweizer Hotelier-Verein, Mitglied Gastrosuisse, Mitglied Hotelier-Verein Arosa (HVA)	4 Sterne	77	O-2	Maran/Pr�tschli					Humor Festival Hotels, Skischule Inklusive
6	AROSA	Unterkunft	Hotel	52	9.67906767900007,46.7769363190001	Sunstar Alpine Hotel	Angebot, Buchung, Package	SHV - Mitglied Schweizer Hotelier-Verein	4 Sterne	107	N-9	Seewald / M�liboda					Familienfreundliches Hotel, Wellnesshotel I, Wanderhotel, Skipass inklusive, Arosa JUNIOR Club-Basis Partner, Humor Festival Hotels, Skischule Inklusive
23	-0	Unterkunft	Hotel	25	9.67786620800007,46.7794201730001	Cristallo	Angebot, Buchung, Package	Mitglied Hotelier-Verein Arosa (HVA), SHV - Mitglied Schweizer Hotelier-Verein, Mitglied Gastrosuisse	4 Sterne	-0	N-8	-0	-0	-0	-0	-0	Ausgezeichnete K�che, Humor Festival Hotels, Skischule Inklusive
25	-0	Unterkunft	Hotel	14	9.66518678600005,46.774799884	Arosa Kulm Hotel	Angebot, Buchung, Package	ISO-Zertifiziert, SHV - Mitglied Schweizer Hotelier-Verein, Mitglied Hotelier-Verein Arosa (HVA), Mitglied Gastrosuisse, Swiss Delux Hotel, Qualit�tsg�tesiegel III	5 Sterne Superior	-0	H-8	-0	-0	-0	-0	-0	Wellnesshotel I, Humor Festival Hotels, Skischule Inklusive, Golfhotel, Ausgezeichnete K�che, Arosa JUNIOR Club-Premium Partner, Seminarhotel, Familienfreundliches Hotel, Wanderhotel
40	-0	Unterkunft	Hotel	67	9.66888191400005,46.7774474220001	Tschuggen Grand Hotel	Angebot, Buchung, Package	SHV - Mitglied Schweizer Hotelier-Verein, Leading Hotels of the World, Qualit�tsg�tesiegel III, Mitglied Gastrosuisse, Mitglied Hotelier-Verein Arosa (HVA)	5 Sterne Superior	-0	K-7	-0	-0	-0	-0	-0	Wellnesshotel II, Designhotel, Ausgezeichnete K�che, Seminarhotel, Humor Festival Hotels, Arosa JUNIOR Club-Premium Partner, Wellnesshotel I, Gay Ski Week, Familienfreundliches Hotel
43	-0	Unterkunft	Hotel	73	9.67720070400003;46.781627223	Waldhotel National	Angebot, Buchung, Package	Mitglied Gastrosuisse, Qualit�tsg�tesiegel II, Mitglied Hotelier-Verein Arosa (HVA), SHV - Mitglied Schweizer Hotelier-Verein	4 Sterne Superior	-0	N-7	-0	-0	-0	-0	-0	Gay Ski Week, Humor Festival Hotels, Ausgezeichnete K�che, Wellnesshotel I, Seminarhotel, Wanderhotel, Arosa JUNIOR Club-Premium Partner, Familienfreundliches Hotel
4689	AROSA	Unterkunft	Hotel	58	9.67693925700007,46.7760605940001	ROBINSON Club Arosa	Angebot, Package	Mitglied Hotelier-Verein Arosa (HVA)	4 Sterne	134	M-9	Seewald / M�liboda	-0	-0	-0	-0	�ko-Hotel, Gay Ski Week, Wanderhotel, Wellnesshotel I, Skipass inklusive, Designhotel, Ausgezeichnete K�che
4781	AROSA	Unterkunft	Hotel	44	9.67927802500003,46.7802307370001	Metropol	Angebot, Buchung, Package	Qualit�tsg�tesiegel II, SHV - Mitglied Schweizer Hotelier-Verein, Mitglied Hotelier-Verein Arosa (HVA), Mitglied Gastrosuisse	4 Sterne Superior	22	N-7	0	-0	-0	-0	-0	Arosa JUNIOR Club-Basis Partner, Wellnesshotel I, Familienfreundliches Hotel, Seminarhotel, Humor Festival Hotels, Golfhotel
5000	AROSA	Unterkunft	Gruppenunterkunft, Hotel	1	9.67557735200006,46.780131452	Mountain Lodge	Angebot	Qualit�tsg�tesiegel II, Mitglied Gastrosuisse	Ohne Klassifizierung	96	M-7	Sonnenbergstrasse / Hohe Promenade	Mehrbettzimmer, Etagendusche/Etagen-WC	Mehrbettzimmer, Etagendusche/Etagen-WC	4	4	Skipass inklusive, Arosa JUNIOR Club-Basis Partner, Skischule Inklusive
5004	AROSA	Unterkunft	Camping	0	9.67396172400004,46.7753028700001	Campingplatz	k.A.	k.A.	k.A.	k.A.	L-9	0					
